manufacturer,task_raw,workforce_type,crew_size,unit_price,days,quote_date,default_assumption,judgment_comment,reference_note,source_type,source_file
山田重工,ロボット据付け調整,特殊作業員,5,450000,3,2026-04-15,1日5人がデフォ,,原単位3万は妥当ライン,見積書PDF,yamada_202604.pdf
鈴木機械,据付工事一式,普通作業員,,380000,2,2026-05-02,,,,見積書PDF,suzuki_mitsumori.pdf
田中電機,据付け調整工事,特殊作業員,4,520000,3,2026-03-20,4名体制,,高めだが工期短め,見積書PDF,tanaka_202603.pdf
佐藤プラント,据付調整,普通作業員,6,420000,2,2026-06-01,1日6人,,古メモ:妥当寄り,見積書PDF,sato_202606.pdf
山田重工,ロボット据付け調整,特殊作業員,5,480000,3,2025-11-10,1日5人がデフォ,,前年見積（比較用）,見積書PDF,yamada_202511.pdf
小林精機,配線接続工事,普通作業員,3,210000,2,2026-04-01,,,,見積書PDF,kobayashi_wiring.pdf
鈴木機械,配線接続,普通作業員,2,195000,2,2026-04-18,,,,見積書PDF,suzuki_wiring.pdf
田中電機,ケーブル配線工事,特殊作業員,3,280000,2,2026-05-10,特殊作業員前提,,要確認候補,見積書PDF,tanaka_wiring.pdf
佐藤プラント,試運転調整,特殊作業員,2,150000,1,2026-06-15,,,,見積書PDF,sato_trial.pdf
古メモ帳,据付工事一式,普通作業員,5,360000,3,2024-08-01,古エクセル転記,,原単位2.4万ライン,古エクセル,legacy_notes.xlsx
